MS_depth,age_kabp_MS,MS
293.104,800.4834,147.7
293.139,800.6253,133.2
293.163,800.69195,150.8
293.179,800.7864,160.3
293.229,800.9901,169.7
293.264,801.1325,139.4
293.304,801.2994,197.1
293.339,801.4415,161.2
293.389,801.6441,202.6
293.424,801.7876,285.6
293.464,801.9494,286.7
293.499,802.0898,344.9
293.549,802.2936,340
293.584,802.4361,203.6
293.619,802.5811,209.8
293.643,802.6441,207.6
293.699,802.904,122.4
293.789,803.2751,193
293.859,803.5545,171.4
293.959,803.9591,179.7
294.034,804.265,170.2
294.123,804.62185,187.3
294.189,804.9444,170.9
294.264,805.2671,159.4
294.344,805.6141,137.8
294.419,805.933,205.4
294.504,806.3044,537.8
294.603,806.7083,283.1
294.674,807.0475,154.9
294.749,807.3768,160.4
294.834,807.7523,148.2
294.909,808.0782,124.2
294.989,808.4302,137.7
295.083,808.81,126.4
295.179,809.2646,219.3
295.259,809.6187,166.4
295.344,809.9705,169.3
295.419,810.2344,134.6
295.499,810.5175,107.9
295.563,810.71725,95.9
295.621,810.9503,118.1
295.706,811.2497,161.1
295.786,811.531,133.1
295.871,811.8325,111
295.951,812.1167,107.4
296.13,812.7054,171.9
296.186,812.9476,139.6
296.271,813.2488,156.1
296.346,813.5175,141.8
296.431,813.8174,118.7
296.582,814.3565,105.3
296.666,814.6341,127.2
296.751,814.9047,136.9
296.831,815.1631,159.4
296.911,815.4168,80.2
297.071,815.9316,82.3
297.161,816.1828,97.4
297.493,817.2249,102.2
297.973,818.755,75.2
298.453,820.13295,28.3
298.933,821.5168,58.4
299.413,822.8181,89.6
299.893,823.98745,88.5
300.373,825.15675,56.1
300.853,826.45335,60.9
301.333,827.8308,72.2
301.813,829.2313,126.9
302.293,831.396,113.9
302.773,833.61145,50.6
303.253,836.00255,102.9
303.733,839.01115,65.5
304.213,841.9898,43.5
304.673,844.8345,64.5
305.173,847.9151,105.2
305.653,850.9255,109
306.133,853.97925,78
306.613,857.04725,46.4
307.093,860.08205,49.4
307.573,863.05365,64.9
307.8,864.501,53.9
307.91,865.1826,60
308.03,865.9331,57.7
308.053,866.0338,60.3
308.15,866.6828,56.4
308.285,867.534,89.6
308.395,868.0617,240.3
308.505,868.4764,135.3
308.533,868.55695,127.4
308.625,868.9325,197.3
308.755,869.4266,165.1
308.875,869.8769,157.3
308.985,870.2921,184.2
309.013,870.3682,245.3
309.105,870.7454,173.7
309.221,871.1928,227.3
309.235,871.24015,261.3
309.341,871.6337,202.5
309.345,871.65685,255.7
309.441,872.0098,185.8
309.493,872.17285,200.8
309.551,872.4241,178.9
309.671,872.8348,191.1
309.791,873.1646,246.3
309.911,873.4931,250.2
309.973,873.6435,251.5
310.031,873.8234,219.8
310.151,874.1596,291.2
310.271,874.4865,153.3
310.391,874.8109,256.1
310.453,874.9625,226.1
310.511,875.1472,241.1
310.631,875.4735,243.4
310.671,875.5815,237.8
310.791,875.9085,208.5
310.911,876.2409,223.6
310.933,876.27635,213.3
311.031,876.6152,187
311.151,877.0208,241
311.259,877.3964,203.4
311.261,877.3916,203
311.379,877.7899,275.9
311.413,877.8754,309.9
311.499,878.183,233
311.549,878.3531,366.7
311.669,878.7556,242
311.789,879.1557,287.1
311.893,879.47965,210.7
311.949,879.6976,163.2
312.059,880.063,254.6
312.373,881.03325,207
312.853,882.4858,195
313.333,883.93975,163.1
313.823,885.5036,307.9
314.293,887.03305,312.4
314.773,888.6236,192.7
315.253,890.8529,105
315.733,893.1973,175
316.213,895.6106,183.8
316.693,898.4958,148.1
317.173,901.3506,139.3
317.653,904.1033,125.8
318.133,906.78035,100.9
